Restaurant ID,Name,Aggregate Rating,Rating Subtitle,Votes,Dining Review Count,Delivery Rating,Delivery Review Count,Cost for Two,Cost for One,Locality,Address,Cuisine,City,latitude,longitude
18806395,Baba's,4.0,Very Good,"4,047",146,4.1,"3,901","₹1,200 for two",₹350 for one,"DLF Cyber City, Gurgaon","Ground Floor, Infinity Tower A, IIA, DLF Cyber City, Gurgaon","North Indian, Mughlai, Kebab, Seafood, Chinese, Salad, Desserts, Beverages",Delhi NCR,28.46264,77.09248
7248,McDonald's,3.7,Good,11K,193,4.1,10.8K,₹400 for two,₹350 for one,"Ambience Mall, Vasant Kunj, New Delhi","T 310, 3rd Floor, Nelson Mandela Marg, Vasant Kunj, New Delhi","Burger, Wraps, Fast Food, Desserts, Beverages",Delhi NCR,28.5429,77.15741
18624370,Pizza Hut,3.9,Good,"9,323",208,4.0,"9,115",₹600 for two,₹350 for one,"Vasant Square Mall, Vasant Kunj, New Delhi","Shop 15, Vasant Square Mall, Vasant Kunj, New Delhi","Pizza, Fast Food, Italian",Delhi NCR,28.52489,77.15655
20462144,White Tandoor,4.2,Very Good,"1,510",0,4.2,"1,510",₹500 for two,₹350 for one,"Vasant Kunj, New Delhi","Shop C-3, 1st Floor, Main Road, Masoodpur, Vasant Kunj, New Delhi","North Indian, Mughlai, Biryani, Kebab",Delhi NCR,28.53151,77.15021
310723,Burger King,3.7,Good,30K,943,4.1,29.1K,₹400 for two,₹350 for one,"Ambience Mall, Vasant Kunj, New Delhi","3rd Floor,  Ambience Mall, Vasant Kunj, New Delhi","Burger, Fast Food, Desserts, Shake",Delhi NCR,28.5429,77.15741
20871363,Haldiram's,3.8,Good,482,1,3.8,481,₹450 for two,₹200 for one,"Vasant Square Mall, Vasant Kunj, New Delhi","21 & 22, Shop 19A & B, Plot A Sec B, Ground Floor, Commercial Complex, Vasant Square Mall, Pocket–V, Community Centre, Vasant Kunj, New Delhi","North Indian, Chinese, South Indian, Street Food, Continental, Mithai, Beverages, Desserts",Delhi NCR,28.52489,77.15655
307176,24X7 Kitchen,4.1,Very Good,23.7K,0,4.1,23.7K,₹400 for two,₹200 for one,"Vasant Kunj, New Delhi","B-32, Masoodpur, Vasant Kunj, New Delhi","North Indian, Chinese, Biryani, Healthy Food, Street Food, Beverages, Mughlai",Delhi NCR,28.53151,77.15021
18852839,Bikkgane Biryani,4.3,Very Good,16.8K,0,4.3,16.8K,₹600 for two,₹250 for one,"Vasant Kunj, New Delhi","C-10/2, First Floor, Masoodpur, Vasant Kunj, New Delhi","Biryani, Hyderabadi, Andhra, North Indian, Mughlai",Delhi NCR,28.53151,77.15021
18163922,Moti Mahal Delux,3.6,Good,"5,880",261,3.9,"5,619","₹1,300 for two",₹550 for one,"Vasant Kunj, New Delhi","A-33, Masoodpur, Vasant Kunj, New Delhi","North Indian, Mughlai, Chinese, Seafood, Biryani, Beverages",Delhi NCR,28.53151,77.15021
20282323,Call Chotu - Your Everyday Food Genie,4.0,Very Good,"4,765",0,4.0,"4,765",₹550 for two,₹250 for one,"Vasant Kunj, New Delhi","Plot 1, Masoodpur Diary Farm, Vasant Kunj, New Delhi","North Indian, Chinese, Street Food, Beverages",Delhi NCR,28.53151,77.15021
