country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,source_url,etl_timestamp
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-18,-43,-5,-46,-25,-23,5,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-19,-50,-33,-54,-38,-44,14,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-20,-35,-4,-46,-25,-33,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-21,-37,-9,-46,-36,-48,12,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-22,-33,-2,-36,-28,-34,9,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-23,-33,-2,-40,-26,-31,9,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-24,-35,-2,-47,-29,-26,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-25,-44,-9,-51,-28,-19,6,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-26,-35,-5,-38,-29,-31,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-27,-41,-15,-51,-30,-33,11,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-28,-44,-21,-54,-33,-32,11,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-29,-34,-4,-44,-25,-27,9,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-30,-34,-4,-49,-26,-26,10,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-07-31,-29,7,-47,-24,-19,7,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-01,-41,-6,-54,-22,-20,7,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-02,-34,-4,-42,-26,-30,9,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
IN,India,Delhi,Central Delhi,,,,ChIJiT9nOFj9DDkRkoyq8FS5wxo,2021-08-03,-28,6,-43,-25,-29,8,https://www.gstatic.com/covid19/mobility/Global_Mobility_Report.csv,2023-07-10 00:07:58.145154+00:00
