id,name,address,current_popularity,alltime_popularity,day,hour,category,date,city
ChIJTWVz970CDTkRVF8-q6LFoDg,FB-DELHI-RAJENDRA PLACE,"Metro Station, Block A, Rajendra Park, Rajendra Place, New Delhi",9.0,30,Wednesday,9,Hypermarket,2020-05-13,Delhi
ChIJ-xGd1nDiDDkRRKcPip9w_Kk,Reliance Fresh Limited,"next to Green Chick, 1-C, next to Green Chick, Block B 7, Arjun Nagar, Safdarjung Enclave, New Delhi",63.0,48,Wednesday,9,Hypermarket,2020-05-13,Delhi
ChIJJQ1TK43hDDkR2DG6or4DwN8,"Pushp Vihar Sector 1, Shivalika Market","Block 78, 1 TO 15, Sector 1, Pushp Vihar, New Delhi",56.0,19,Wednesday,9,Hypermarket,2020-05-13,Delhi
ChIJkyX1dMPjDDkR0qh9JXe4YVw,BB-NEW DELHI-KALKAJI,"below Kalkaji, Lotus Temple Road Metro Station, below Kalkaji, Delhi Metro Violet Line, New Delhi",No Footfall,0,Wednesday,9,Hypermarket,2020-05-13,Delhi
ChIJdQ6se13iDDkRTP87gnvA1ZY,YES Bank ATM,"D/12, South Extension II, New Delhi",10.0,23,Wednesday,9,Bank,2020-05-13,Delhi
ChIJ8TzUUqMEDTkR7PQU5pGxgxw,Axis Bank,"C3/21, Janakpuri, New Delhi",17.0,0,Wednesday,9,Bank,2020-05-13,Delhi
ChIJxRimLr8cDTkRUMJfnPeEYs8,Central Bank Of India,"Sadar Bazar Road, Sadar Bazaar, Delhi Cantonment, New Delhi",11.0,18,Wednesday,9,Bank,2020-05-13,Delhi
ChIJXReQ5hEBDTkRGa7I2HuUbZ4,kotak mahindra bank,"28 -Community Center, 7, Goswami Girdhari Lal Marg, Industrial Area Phase I, Block B, Naraina, New Delhi",14.0,16,Wednesday,9,Bank,2020-05-13,Delhi
ChIJsxqV6vwDDTkRMhk9daNYJms,Punjab And Sind Bank Zonal Office Delhi 2,"B 38/39, Industrial Area Phase I, Naraina, New",No Footfall,0,Wednesday,9,Bank,2020-05-13,Delhi
ChIJpamq2rbjDDkRI3MWeR5A2Qk,Subzi Mandi,"A- 32, Kalka Devi Marg, Block A, Dayanand Colony, Lajpat Nagar 4, New Delhi",37.0,38,Wednesday,10,Vegetable Market,2020-05-13,Delhi
ChIJZbGXPJT8DDkROGQnBrxZGes,Jheel Sabzi Mandi,"Jheel, Geeta Colony, Shahdara, Delhi, 110031, India",36.0,21,Wednesday,10,Vegetable Market,2020-05-13,Delhi
